test_date,district,tests_combined,cases_combined,tests_nontraveller,cases_nontraveller
2020-04-10,Gopalganj,2,0,2,0
2020-04-10,Habiganj,40,0,40,0
2020-04-10,Jamalpur,17,0,17,0
2020-04-10,JASHORE,7,0,7,0
2020-04-10,Jhenaidah,3,0,3,0
2020-04-10,KISHOREGANJ,1,0,1,0
2020-04-10,Kushtia,1,1,1,1
2020-04-10,Lakshmipur,1,1,1,1
2020-04-10,Lalmonirhat,1,0,1,0
2020-04-10,Madaripur,9,1,9,1
2020-04-10,Magura,6,1,6,1
2020-04-10,Manikganj,2,2,2,2
2020-04-10,Moulvibazar,16,0,16,0
2020-04-10,Mymensingh,12,1,12,1
2020-04-10,Narayanganj,5,5,5,5
2020-04-10,Netrakona,5,1,5,1
2020-04-10,Nilphamari,1,1,1,1
2020-04-10,Rajbari,1,1,1,1
2020-04-10,Rangpur,4,0,4,0
2020-04-10,Satkhira,6,0,6,0
2020-04-10,Shariatpur,2,0,2,0
2020-04-10,Sherpur,9,1,9,1
2020-04-10,Sirajganj,1,1,1,1
2020-04-10,Sunamganj,20,1,20,1
2020-04-10,Sylhet,38,0,38,0
2020-04-11,Bagerhat,3,0,3,0
2020-04-11,Bandarban,2,0,2,0
2020-04-11,Barguna,13,1,13,1
2020-04-11,Brahmanbaria,1,1,1,1
2020-04-11,Chandpur,3,3,3,3
2020-04-11,CHAPAINABABGANJ,1,0,1,0
2020-04-11,CHATTOGRAM,1,1,1,1
2020-04-11,COXS BAZAR,3,0,3,0
2020-04-11,CUMILLA,1,0,1,0
2020-04-11,Dhaka,32,19,32,19
2020-04-11,Dinajpur,1,1,1,1
2020-04-11,Gaibandha,3,1,3,1
2020-04-11,Gazipur,4,4,4,4
2020-04-11,Gopalganj,2,2,2,2
2020-04-11,Jamalpur,3,3,3,3
2020-04-11,JASHORE,13,1,13,1
2020-04-11,Jhenaidah,1,0,1,0
2020-04-11,Khulna,14,0,14,0
2020-04-11,Lalmonirhat,2,1,2,1
2020-04-11,Madaripur,2,0,2,0
2020-04-11,Meherpur,1,0,1,0
2020-04-11,Narail,2,0,2,0
2020-04-11,Narayanganj,5,5,5,5
2020-04-11,Nilphamari,1,1,1,1
2020-04-11,Noakhali,1,1,1,1
2020-04-11,Patuakhali,1,1,1,1
