days,confirmed,recovered,deaths,active,cfr_recovered,cfr_confirmed
2020-12-23,504868,444345,7359,53164,1.6291642314436003,1.4576087214875968
2020-12-24,506102,446690,7378,52034,1.624866760044751,1.4578089001821768
2020-12-25,507265,448803,7398,51064,1.6216536132099666,1.4584093126866629
2020-12-26,508099,450488,7428,50183,1.6221315699822676,1.4619198227117156
2020-12-27,509148,451961,7452,49735,1.622069902244821,1.4636215795800043
2020-12-28,510080,453318,7479,49283,1.62305744178022,1.466240589711418
2020-12-29,511261,454563,7509,49189,1.6250714174414378,1.468721455381889
2020-12-30,512496,456070,7531,48895,1.6244572380128601,1.4694748837064093
2020-12-31,513510,457459,7559,48492,1.6255284741665914,1.472025861229577
2021-01-01,514500,458656,7576,48268,1.6249420889171056,1.4724975704567542
2021-01-02,515184,459620,7599,47965,1.6264321442407095,1.4750069877946521
2021-01-03,516019,460598,7626,47795,1.628707627118644,1.4778525596925696
2021-01-04,516929,461515,7650,47764,1.6305564140547568,1.4798937571697468
2021-01-05,517920,462459,7670,47791,1.6314671079639844,1.4809236947791165
2021-01-06,518898,463480,7687,47731,1.6314809823268608,1.4814086776206499
2021-01-07,519905,464446,7718,47741,1.6346015367541786,1.4845019763225975
2021-01-08,520690,465279,7734,47677,1.6350501994659765,1.4853367646776392
2021-01-09,521382,466064,7756,47562,1.6369085306656537,1.4875849185434096
2021-01-10,522453,466801,7781,47871,1.6395480654554955,1.4893205704627976
2021-01-11,523302,467718,7803,47781,1.640936993318907,1.491108384833232
2021-01-12,524020,468681,7819,47520,1.6409233997901365,1.492118621426663
2021-01-13,524910,469522,7833,47555,1.6409171371411213,1.49225581528262
2021-01-14,525723,470405,7849,47469,1.641178118740251,1.492991556389962
2021-01-15,526485,471123,7862,47500,1.6413875173544057,1.493299904080838
2021-01-16,527063,471756,7883,47424,1.6435277364851482,1.4956466304787093
2021-01-17,527632,472437,7906,47289,1.6459071954832276,1.4983928192376506
2021-01-18,528329,473173,7922,47234,1.6466602230328728,1.499444474938911
2021-01-19,529031,473855,7942,47234,1.6484120905692647,1.5012352773277937
2021-01-20,529687,474472,7950,47265,1.647934795676814,1.5008863725181099
2021-01-21,530271,475074,7966,47231,1.649138787678039,1.502250735944451
2021-01-22,530890,475561,7981,47348,1.6505288061843646,1.503324605850553
2021-01-23,531326,475899,8003,47424,1.6538472665953023,1.5062315791058596
2021-01-24,531799,476413,8023,47363,1.6561527219281804,1.5086527052514203
2021-01-25,532401,476979,8041,47381,1.6578697785658323,1.5103277416834304
2021-01-26,532916,477426,8055,47435,1.65917924697362,1.5114952450292354
2021-01-27,533444,477935,8072,47437,1.6608814276337585,1.5131860139021154
2021-01-28,533953,478546,8087,47320,1.6618272907920342,1.5145527789899111
2021-01-29,534407,478960,8094,47353,1.661828051920321,1.5145759692518999
2021-01-30,534770,479297,8111,47362,1.664108919016512,1.516726817136339
2021-01-31,535139,479744,8127,47268,1.6658091995629993,1.5186708500034571
2021-02-01,535582,480216,8137,47229,1.6662127600321899,1.5192818279927256
2021-02-02,536107,480728,8149,47230,1.6668814446169486,1.520032381595465
2021-02-03,536545,481306,8162,47077,1.6675247411475316,1.521214436813315
2021-02-04,537030,481917,8175,46938,1.6680541612595186,1.5222613261828948
2021-02-05,537465,482424,8182,46859,1.6677333746427887,1.5223316867144838
2021-02-06,537770,482841,8190,46739,1.667919133415202,1.522955910519367
2021-02-07,538062,483372,8205,46485,1.6691179611739362,1.5249172028502291
2021-02-08,538378,483931,8221,46226,1.670418894975536,1.5269940450761361
2021-02-09,538765,484573,8229,45963,1.6698390022767764,1.5273820682486798
2021-02-10,539153,485290,8239,45624,1.6694054452727196,1.5281376529482356
2021-02-11,539531,485971,8248,45312,1.668895772926577,1.528735142188308
2021-02-12,539975,486393,8253,45329,1.668465933212843,1.5284040927820732
2021-02-13,540266,486767,8266,45233,1.6697876707209418,1.5299870804381546
2021-02-14,540592,487229,8274,45089,1.6698183462057747,1.530544292183384
2021-02-15,541038,487870,8285,44883,1.669841077888966,1.531315730133558
2021-02-16,541434,488621,8298,44515,1.6698898613254876,1.5325967707975487
2021-02-17,541877,489254,8314,44309,1.670927390828992,1.5342965285479915
2021-02-18,542268,489932,8329,44007,1.6716138730504695,1.535956390567026
2021-02-19,542674,490468,8337,43869,1.671394633173284,1.5362814507420661
2021-02-20,543024,490892,8342,43790,1.670959910583013,1.5362120274610331
2021-02-21,543351,491367,8349,43635,1.6707489854237207,1.536575804590403
2021-02-22,543717,492059,8356,43302,1.669814054334902,1.5368289018000172
2021-02-23,544116,492887,8374,42855,1.6705867801404857,1.539010064030464
2021-02-24,544544,493798,8379,42367,1.6685351977490008,1.5387186343068695
2021-02-25,544954,494755,8384,41815,1.6663387254814277,1.5384784770824693
2021-02-26,545424,495498,8395,41531,1.6660283036279528,1.5391695268268357
2021-02-27,545831,496107,8400,41324,1.664991764237166,1.5389378763756547
2021-02-28,546216,496924,8408,40884,1.6638566328671052,1.5393177790471169
2021-03-01,546801,497797,8416,40588,1.6625412622749711,1.5391339811009856
2021-03-02,547316,498391,8423,40502,1.66195093268931,1.5389646931571523
2021-03-03,547930,499627,8428,39875,1.6588755154461623,1.5381526837369737
